,TransactionID,DeviceType,DeviceInfo
18389,3041618,desktop,Windows
18411,3041667,mobile,iOS Device
18416,3041679,desktop,
18422,3041692,desktop,Trident/7.0
18441,3041731,mobile,D6603 Build/23.5.A.1.291
18529,3041918,desktop,Windows
18530,3041920,desktop,MacOS
18600,3042092,desktop,Windows
18615,3042129,desktop,Windows
18623,3042153,mobile,iOS Device
18661,3042268,desktop,MacOS
18685,3042317,desktop,Windows
18695,3042344,desktop,MacOS
18816,3042669,mobile,Fractal
18870,3042821,desktop,Windows
18885,3042864,mobile,SM-A320Y Build/NRD90M
18906,3042904,desktop,Windows
19016,3043173,mobile,SM-G935P Build/NRD90M
19017,3043177,desktop,Windows
19037,3043215,desktop,Windows
19064,3043296,desktop,Windows
19104,3043418,mobile,LG-X210 Build/LMY47I
19164,3043536,mobile,XT1528
19207,3043631,mobile,iOS Device
19295,3043807,mobile,SAMSUNG SM-G930F Build/NRD90M
19302,3043823,desktop,Windows
19306,3043833,,
19383,3043971,desktop,Trident/7.0
19399,3044004,mobile,WAS-LX3 Build/HUAWEIWAS-LX3
19403,3044010,desktop,Windows
19407,3044017,desktop,MacOS
19414,3044031,mobile,SM-G930V Build/NRD90M
19444,3044073,desktop,
19445,3044075,desktop,rv:57.0
19464,3044101,desktop,MacOS
19482,3044133,mobile,iOS Device
19503,3044162,desktop,Windows
19533,3044204,mobile,LG-H850
19589,3044295,,
19622,3044362,mobile,iOS Device
19652,3044443,desktop,MacOS
19664,3044471,desktop,Windows
19674,3044492,mobile,iOS Device
19696,3044548,mobile,iOS Device
19708,3044575,desktop,MacOS
19720,3044608,desktop,Windows
19723,3044619,desktop,MacOS
19742,3044662,desktop,Trident/7.0
19743,3044663,desktop,Windows
19758,3044698,mobile,iOS Device
19760,3044703,desktop,Windows NT 6.1
19762,3044707,desktop,Windows
19772,3044723,desktop,Windows
19802,3044777,desktop,Windows
19806,3044788,mobile,iOS Device
19863,3044938,desktop,Windows
19868,3044946,mobile,iOS Device
19885,3044986,desktop,Windows
19890,3044995,desktop,rv:48.0
19902,3045016,desktop,Trident/7.0
19920,3045054,desktop,Windows
20012,3045276,desktop,Windows
20017,3045283,mobile,iOS Device
20026,3045299,desktop,Windows
20031,3045305,mobile,iOS Device
20037,3045314,desktop,Windows
20040,3045320,mobile,iOS Device
20062,3045368,mobile,SM-G531H Build/LMY48B
20116,3045455,desktop,Trident/7.0
20175,3045588,desktop,Trident/7.0
20209,3045667,desktop,Windows
20260,3045793,desktop,Trident/7.0
20262,3045804,mobile,iOS Device
20275,3045833,desktop,Windows
20305,3045909,desktop,Trident/7.0
20309,3045920,desktop,Windows
20316,3045935,desktop,rv:51.0
20321,3045952,desktop,Windows
20404,3046165,desktop,Windows
20483,3046371,desktop,Windows
20488,3046383,desktop,Windows
20517,3046441,mobile,iOS Device
20545,3046519,desktop,rv:57.0
20549,3046523,desktop,Windows
20612,3046666,desktop,Windows
20623,3046691,mobile,iOS Device
20634,3046716,desktop,Windows
20640,3046731,mobile,iOS Device
20676,3046796,desktop,MacOS
20679,3046804,mobile,iOS Device
20710,3046880,mobile,iOS Device
20719,3046904,mobile,
20758,3047002,mobile,iOS Device
20795,3047096,mobile,ALE-L23 Build/HuaweiALE-L23
20812,3047139,desktop,rv:57.0
20838,3047185,mobile,iOS Device
20856,3047225,desktop,MacOS
20879,3047279,mobile,iOS Device
20979,3047550,mobile,
20986,3047565,desktop,Windows
20987,3047569,mobile,LG-H320 Build/LRX21Y
20992,3047583,mobile,SM-G955U Build/NRD90M
20996,3047600,desktop,MacOS
21047,3047717,mobile,SM-G935V Build/NRD90M
21154,3048008,mobile,MotoG3 Build/MPI24.65-33.1-2
21167,3048044,mobile,iOS Device
21193,3048123,desktop,
21327,3048489,desktop,rv:11.0
21434,3048717,mobile,iOS Device
21503,3048860,desktop,Windows
21632,3049109,mobile,iOS Device
21645,3049133,desktop,Windows
21659,3049165,mobile,iOS Device
21669,3049182,desktop,Windows
21882,3049596,desktop,MacOS
21895,3049620,mobile,SAMSUNG SM-G920P Build/NRD90M
21902,3049635,desktop,Windows
21910,3049646,desktop,Windows
21915,3049657,desktop,Windows
22041,3049925,mobile,iOS Device
22046,3049938,desktop,Trident/7.0
22051,3049944,desktop,rv:11.0
22105,3050032,desktop,Trident/7.0
22160,3050148,desktop,
22162,3050156,desktop,
22188,3050215,desktop,Windows
22288,3050415,desktop,Windows
22356,3050558,desktop,MacOS
22389,3050637,desktop,MacOS
22398,3050653,desktop,Windows
22420,3050726,desktop,
22440,3050774,,
22441,3050775,desktop,Windows
22469,3050837,desktop,Windows
22601,3051120,mobile,SM-N950U Build/NMF26X
22607,3051129,desktop,Windows
22609,3051136,desktop,Windows
22693,3051285,desktop,Windows
22715,3051332,desktop,MacOS
22728,3051361,desktop,Trident/7.0
22733,3051367,desktop,Trident/7.0
22750,3051410,desktop,MacOS
22794,3051504,desktop,MacOS
22804,3051520,desktop,MacOS
22881,3051689,mobile,iOS Device
22893,3051708,desktop,rv:11.0
23082,3052151,desktop,MacOS
23085,3052157,desktop,Windows
23099,3052178,mobile,iOS Device
23110,3052211,mobile,SM-G935T Build/NRD90M
23115,3052222,desktop,Windows
23199,3052417,desktop,Trident/7.0
23216,3052464,desktop,Windows
23222,3052474,desktop,MacOS
23341,3052764,desktop,Windows
23346,3052788,desktop,
23362,3052820,desktop,
23397,3052883,desktop,Windows
23406,3052900,desktop,Windows
23444,3052970,desktop,
23447,3052976,mobile,SAMSUNG-SM-G930A Build/NRD90M
23547,3053141,desktop,MacOS
23559,3053163,mobile,LG-V521
23588,3053211,mobile,LG-H820 Build/NRD90U
23719,3053429,mobile,HTC Desire 626s Build/LMY47O
23746,3053469,mobile,iOS Device
23779,3053532,desktop,Windows
23817,3053604,desktop,
23883,3053730,desktop,Trident/7.0
23905,3053769,desktop,Windows
23929,3053814,desktop,Windows
23968,3053902,mobile,iOS Device
23987,3053951,mobile,XT1635-02 Build/NPN26.118-22-2
24004,3053981,desktop,Windows
24025,3054027,desktop,MacOS
24051,3054078,mobile,iOS Device
24068,3054121,mobile,SM-G955U Build/NRD90M
24089,3054170,mobile,PRA-LX3 Build/HUAWEIPRA-LX3
24128,3054235,mobile,iOS Device
24198,3054371,mobile,iOS Device
24205,3054383,mobile,SM-N950U Build/NMF26X
24218,3054415,desktop,Windows
24242,3054465,desktop,Windows
24261,3054497,mobile,LG-H840 Build/MMB29M
24360,3054707,desktop,Windows
24492,3055023,mobile,iOS Device
24495,3055030,mobile,iOS Device
24497,3055032,mobile,iOS Device
24507,3055059,desktop,
24555,3055166,desktop,MacOS
24598,3055236,mobile,
24604,3055243,desktop,MacOS
24616,3055279,desktop,MacOS
24729,3055501,mobile,iOS Device
24732,3055505,desktop,MacOS
24734,3055507,desktop,MacOS
24735,3055508,desktop,MacOS
24736,3055510,desktop,
24738,3055512,desktop,Windows
24739,3055513,desktop,Windows
24741,3055515,desktop,Windows
24749,3055533,desktop,MacOS
24752,3055537,desktop,Windows
24754,3055543,desktop,Windows
24755,3055552,desktop,MacOS
24756,3055554,desktop,
24757,3055557,mobile,iOS Device
24758,3055563,mobile,SM-G930V Build/NRD90M
25000,3056132,mobile,iOS Device
25256,3056689,desktop,
25277,3056744,desktop,
25387,3056980,mobile,iOS Device
25462,3057134,desktop,Windows
25471,3057148,mobile,LG-K580 Build/MRA58K
25565,3057309,desktop,Windows
25572,3057320,desktop,Windows
25581,3057330,mobile,HTC
25587,3057338,desktop,rv:11.0
25599,3057354,desktop,Windows
25604,3057362,desktop,Windows
25610,3057377,desktop,Trident/7.0
25640,3057425,desktop,Windows
25647,3057439,mobile,iOS Device
25677,3057517,mobile,iOS Device
25757,3057675,mobile,iOS Device
25820,3057842,,
25839,3057896,desktop,Windows
25857,3057956,desktop,Windows
25953,3058161,desktop,Windows
25956,3058164,desktop,Windows
25961,3058169,desktop,Windows
25962,3058173,desktop,Trident/7.0
25966,3058181,desktop,Windows
25990,3058229,desktop,MacOS
25991,3058230,desktop,Windows
26000,3058251,mobile,iOS Device
26007,3058262,desktop,rv:57.0
26021,3058286,desktop,MacOS
26029,3058309,desktop,Windows
26036,3058320,mobile,iOS Device
26045,3058335,desktop,Windows
26070,3058375,mobile,
26087,3058399,desktop,Windows
26093,3058414,desktop,Windows
26110,3058443,mobile,iOS Device
26159,3058542,desktop,Trident/7.0
26172,3058564,desktop,Windows
26192,3058592,desktop,Windows
26214,3058629,,
26264,3058715,desktop,Windows
26267,3058719,desktop,MacOS
26300,3058781,mobile,HUAWEI VNS-L31 Build/HUAWEIVNS-L31
26303,3058786,desktop,rv:11.0
26308,3058794,desktop,Windows
26311,3058799,desktop,Windows
26322,3058828,desktop,Windows
26340,3058857,desktop,
26343,3058861,desktop,Trident/7.0
26350,3058871,desktop,rv:54.0
26374,3058902,desktop,rv:11.0
26378,3058907,mobile,LGMS210 Build/NRD90U
26386,3058919,mobile,
26395,3058937,desktop,Windows
26407,3058960,mobile,iOS Device
26413,3058970,mobile,iOS Device
26419,3058979,desktop,Trident/7.0
26423,3058985,desktop,Windows
26431,3059002,desktop,Trident/7.0
26454,3059051,desktop,Trident/7.0
26520,3059172,desktop,MacOS
26554,3059226,desktop,MacOS
26623,3059343,desktop,Windows
26631,3059355,desktop,MacOS
26672,3059430,mobile,iOS Device
26680,3059445,desktop,MacOS
26688,3059456,desktop,Windows
26692,3059462,desktop,Windows
26694,3059467,desktop,Windows
26698,3059474,desktop,
26711,3059493,desktop,Windows
26733,3059549,desktop,Trident/7.0
26736,3059553,mobile,iOS Device
26780,3059625,desktop,Windows
26791,3059648,desktop,
26792,3059649,mobile,iOS Device
26928,3059897,desktop,Windows
26955,3059947,mobile,iOS Device
26976,3060000,mobile,SAMSUNG SM-G950U Build/NRD90M
26981,3060010,desktop,Windows
27034,3060094,desktop,Windows
27109,3060239,desktop,Trident/7.0
27115,3060254,desktop,Windows
27132,3060283,desktop,Windows
27143,3060304,mobile,iOS Device
27415,3060877,desktop,Windows
27424,3060889,mobile,SM-G610M Build/MMB29K
27444,3060920,desktop,
27497,3061037,mobile,iOS Device
27504,3061052,desktop,MacOS
27508,3061067,desktop,Windows
27540,3061142,,
27553,3061170,desktop,Windows
27594,3061250,desktop,MacOS
27600,3061263,mobile,iOS Device
27610,3061282,desktop,Windows
27614,3061293,desktop,Trident/7.0
27642,3061353,desktop,MacOS
27662,3061400,desktop,Windows
27700,3061487,mobile,
27741,3061582,desktop,Windows
27867,3061874,desktop,
27916,3061993,desktop,Windows
28080,3062351,mobile,HTC
28092,3062373,desktop,MacOS
28120,3062430,mobile,iOS Device
28128,3062450,desktop,Windows
28178,3062548,desktop,Windows
28184,3062556,desktop,MacOS
28250,3062688,desktop,MacOS
28253,3062693,mobile,iOS Device
28267,3062721,mobile,iOS Device
28269,3062724,,
28277,3062737,mobile,iOS Device
28398,3062969,mobile,iOS Device
28401,3062974,desktop,Windows
