,TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,addr1,addr2,dist1,dist2
4792,2991792,1,169472,47.128,C,mastercard,credit,hotmail.com,hotmail.com,,,,
4797,2991797,1,169535,10.0,S,mastercard,credit,,yahoo.com,272.0,87.0,,
4800,2991800,1,169551,80.0,W,mastercard,debit,yahoo.com,,143.0,87.0,,
4849,2991849,1,170129,102.0,W,visa,debit,gmail.com,,272.0,87.0,,
4863,2991863,1,170239,103.197,C,mastercard,debit,hotmail.com,hotmail.com,,,,80.0
4879,2991879,1,170458,100.0,W,visa,debit,,,315.0,87.0,,
4954,2991954,1,171262,150.0,H,visa,credit,gmail.com,,444.0,87.0,,
5029,2992029,1,171941,123.58200000000001,C,visa,credit,gmail.com,gmail.com,,,,
5056,2992056,1,172208,75.102,C,mastercard,credit,hotmail.com,hotmail.com,,,,453.0
5081,2992081,1,172472,200.0,W,visa,debit,yahoo.com,,330.0,87.0,,
5190,2992190,1,173707,83.742,C,mastercard,credit,hotmail.com,hotmail.com,,,,
5196,2992196,1,173748,83.742,C,mastercard,credit,hotmail.com,hotmail.com,,,,
5205,2992205,1,173795,83.742,C,mastercard,credit,hotmail.com,hotmail.com,,,,
5212,2992212,1,173843,83.742,C,mastercard,credit,hotmail.com,hotmail.com,,,,
5234,2992234,1,174092,83.742,C,visa,debit,hotmail.com,hotmail.com,,,,
5240,2992240,1,174149,83.742,C,mastercard,credit,hotmail.com,hotmail.com,,,,
5358,2992358,1,175544,23.866,C,visa,credit,anonymous.com,anonymous.com,,,,
5381,2992381,1,175734,140.0,W,visa,debit,,,122.0,87.0,,
5395,2992395,1,175823,311.95,W,visa,credit,gmail.com,,325.0,87.0,1463.0,
5405,2992405,1,175908,80.0,W,visa,debit,gmail.com,,126.0,87.0,,
5511,2992511,1,177345,301.97,W,visa,credit,gmail.com,,325.0,87.0,5.0,
5608,2992608,1,178773,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5615,2992615,1,178859,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5617,2992617,1,178926,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5621,2992621,1,178991,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5626,2992626,1,179035,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5631,2992631,1,179094,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5632,2992632,1,179171,48.336000000000006,C,visa,debit,outlook.com,outlook.com,,,,
5646,2992646,1,179385,200.0,R,mastercard,credit,gmail.com,gmail.com,441.0,87.0,,
5658,2992658,1,179614,200.0,R,mastercard,credit,gmail.com,gmail.com,325.0,87.0,,
5661,2992661,1,179659,200.0,R,mastercard,credit,gmail.com,gmail.com,325.0,87.0,,
5694,2992694,1,180328,30.814,C,mastercard,debit,gmail.com,gmail.com,,,,
5737,2992737,1,181340,40.0,W,visa,debit,aol.com,,220.0,87.0,,
5747,2992747,1,181499,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
5749,2992749,1,181613,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
5755,2992755,1,181730,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
5758,2992758,1,181772,160.0,W,visa,debit,,,122.0,87.0,,
5760,2992760,1,181784,186.0,W,mastercard,debit,gmail.com,,194.0,87.0,,
5764,2992764,1,181804,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
5794,2992794,1,182385,226.0,W,mastercard,debit,,,194.0,87.0,,
5799,2992799,1,182552,171.0,W,mastercard,debit,,,194.0,87.0,1903.0,
5894,2992894,1,184707,54.62,C,mastercard,credit,gmail.com,gmail.com,,,,15.0
5896,2992896,1,184757,54.62,C,mastercard,credit,gmail.com,gmail.com,,,,15.0
5962,2992962,1,186742,50.0,W,mastercard,credit,gmail.com,,264.0,87.0,,
6001,2993001,1,188090,10.634,C,mastercard,credit,gmail.com,gmail.com,,,,
6011,2993011,1,188475,31.97,W,visa,debit,gmail.com,,325.0,87.0,1.0,
6012,2993012,1,188479,31.97,W,visa,debit,gmail.com,,325.0,87.0,1.0,
6125,2993125,1,193313,55.0,W,visa,debit,anonymous.com,,315.0,87.0,24.0,
6126,2993126,1,193354,47.611000000000004,C,mastercard,credit,gmail.com,gmail.com,,,,
6128,2993128,1,193471,47.611000000000004,C,mastercard,credit,gmail.com,gmail.com,,,,
6154,2993154,1,194564,14.863,C,visa,credit,gmail.com,gmail.com,,,,
6220,2993220,1,201512,40.663000000000004,C,mastercard,credit,gmail.com,gmail.com,,,,7.0
6238,2993238,1,206476,117.0,W,visa,debit,,,327.0,87.0,2.0,
6267,2993267,1,214002,200.0,W,visa,debit,yahoo.com,,330.0,87.0,,
6269,2993269,1,214174,226.0,W,visa,debit,yahoo.com,,330.0,87.0,4.0,
6383,2993383,1,222371,100.0,H,visa,credit,yahoo.com,yahoo.com,315.0,87.0,,
6407,2993407,1,223106,160.0,W,visa,debit,,,122.0,87.0,,
6431,2993431,1,223619,200.0,W,mastercard,credit,anonymous.com,,476.0,87.0,,
6443,2993443,1,223832,226.0,W,mastercard,credit,anonymous.com,,476.0,87.0,94.0,
6510,2993510,1,225552,59.0,W,mastercard,debit,anonymous.com,,325.0,87.0,26.0,
6578,2993578,1,226835,108.5,W,mastercard,credit,gmail.com,,325.0,87.0,,
6583,2993583,1,226938,151.0,W,mastercard,credit,gmail.com,,123.0,87.0,,
6630,2993630,1,227608,200.0,R,visa,credit,yahoo.com,yahoo.com,299.0,87.0,,
6717,2993717,1,229271,92.0,W,visa,debit,gmail.com,,204.0,87.0,,
6729,2993729,1,229521,400.99,W,mastercard,credit,gmail.com,,123.0,87.0,,
6828,2993828,1,231215,59.0,W,visa,credit,icloud.com,,220.0,87.0,9.0,
6839,2993839,1,231364,59.0,W,visa,credit,icloud.com,,220.0,87.0,9.0,
6924,2993924,1,232501,107.95,W,visa,debit,,,485.0,87.0,0.0,
6929,2993929,1,232532,100.0,W,visa,credit,hotmail.com,,204.0,87.0,,
6949,2993949,1,232796,117.0,W,visa,credit,hotmail.com,,204.0,87.0,5.0,
7012,2994012,1,233761,59.0,W,visa,debit,yahoo.com,,337.0,87.0,,
7108,2994108,1,235085,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
7121,2994121,1,235242,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
7123,2994123,1,235258,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
7126,2994126,1,235289,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
7379,2994379,1,238269,14.138,C,mastercard,credit,hotmail.com,hotmail.com,,,,
7382,2994382,1,238378,14.138,C,mastercard,credit,hotmail.com,hotmail.com,,,,
7443,2994443,1,239392,60.0,W,visa,debit,,,191.0,87.0,,
7462,2994462,1,239615,265.0,W,visa,credit,hotmail.com,,330.0,87.0,,
7467,2994467,1,239655,57.95,W,visa,debit,,,143.0,87.0,331.0,
7612,2994612,1,241793,117.0,W,visa,credit,yahoo.com,,498.0,87.0,,
7663,2994663,1,242475,600.0,W,visa,credit,hotmail.com,,158.0,87.0,,
7713,2994713,1,243140,150.0,W,visa,debit,gmail.com,,337.0,87.0,,
7876,2994876,1,245216,41.327,C,mastercard,credit,,,,,,
7881,2994881,1,245295,41.327,C,mastercard,credit,,,,,,
7991,2994991,1,246505,60.0,W,mastercard,debit,anonymous.com,,325.0,87.0,,
8007,2995007,1,246692,77.0,W,mastercard,debit,gmail.com,,330.0,87.0,,
8021,2995021,1,246866,77.0,W,mastercard,debit,aol.com,,325.0,87.0,26.0,
8029,2995029,1,246986,390.0,W,mastercard,credit,frontiernet.net,,315.0,87.0,,
8056,2995056,1,247298,390.0,W,mastercard,credit,frontiernet.net,,315.0,87.0,0.0,
8075,2995075,1,247587,52.445,C,mastercard,credit,gmail.com,gmail.com,,,,
8079,2995079,1,247631,52.445,C,mastercard,credit,gmail.com,gmail.com,,,,
8089,2995089,1,247713,52.445,C,mastercard,credit,gmail.com,gmail.com,,,,
8090,2995090,1,247748,52.445,C,mastercard,credit,gmail.com,gmail.com,,,,
8095,2995095,1,247812,52.445,C,mastercard,credit,gmail.com,gmail.com,,,,
8123,2995123,1,248164,335.0,W,mastercard,credit,frontiernet.net,,315.0,87.0,253.0,
8141,2995141,1,248497,100.0,H,visa,debit,gmail.com,gmail.com,337.0,87.0,,
8149,2995149,1,248566,100.0,H,mastercard,debit,gmail.com,gmail.com,264.0,87.0,,
8157,2995157,1,248671,100.0,H,visa,debit,gmail.com,gmail.com,264.0,87.0,,
8172,2995172,1,248981,200.0,W,visa,credit,yahoo.com,,231.0,87.0,,
8176,2995176,1,249049,19.334,C,mastercard,credit,,,,,,
8267,2995267,1,250589,633.92,W,visa,credit,hotmail.com,,158.0,87.0,,
8293,2995293,1,251015,109.95,W,mastercard,credit,gmail.com,,123.0,87.0,,
8311,2995311,1,251273,667.84,W,visa,credit,hotmail.com,,158.0,87.0,8.0,
8323,2995323,1,251433,390.0,W,visa,credit,me.com,,299.0,87.0,,
8355,2995355,1,251887,31.95,W,visa,debit,aol.com,,143.0,87.0,,
8369,2995369,1,252105,600.0,W,visa,credit,hotmail.com,,158.0,87.0,,
8387,2995387,1,252367,667.54,W,visa,credit,,,158.0,87.0,8.0,
8395,2995395,1,252491,667.54,W,visa,credit,,,158.0,87.0,,
8416,2995416,1,252748,30.0,W,visa,credit,gmail.com,,204.0,87.0,,
8418,2995418,1,252816,20.422,C,visa,debit,hotmail.com,hotmail.com,,,,10.0
8488,2995488,1,253761,35.95,W,visa,debit,gmail.com,,387.0,87.0,5.0,
8492,2995492,1,253871,40.0,W,visa,debit,gmail.com,,325.0,87.0,,
8499,2995499,1,253963,41.327,C,mastercard,credit,,,,,,
8504,2995504,1,254024,41.327,C,mastercard,credit,,,,,,
8516,2995516,1,254132,30.0,W,visa,debit,gmail.com,,325.0,87.0,,
8532,2995532,1,254346,60.0,W,visa,debit,yahoo.com,,330.0,87.0,,
8594,2995594,1,255276,108.5,W,visa,debit,gmail.com,,126.0,87.0,17.0,
8602,2995602,1,255325,27.31,C,mastercard,credit,gmail.com,gmail.com,,,,
8619,2995619,1,255528,49.0,W,visa,debit,gmail.com,,204.0,87.0,,
8629,2995629,1,255754,100.0,S,discover,credit,,gmail.com,123.0,87.0,,
8699,2995699,1,256671,41.327,C,mastercard,credit,,,,,,7.0
8705,2995705,1,256724,171.0,W,mastercard,debit,,,194.0,87.0,1903.0,
8707,2995707,1,256746,41.327,C,mastercard,credit,gmail.com,gmail.com,,,,
8711,2995711,1,256784,41.327,C,mastercard,credit,gmail.com,gmail.com,,,,
8715,2995715,1,256828,41.327,C,mastercard,credit,,,,,,7.0
8769,2995769,1,257703,49.0,W,discover,credit,icloud.com,,220.0,87.0,9.0,
8775,2995775,1,257833,14.38,C,visa,credit,gmail.com,gmail.com,,,,
8777,2995777,1,257869,51.901,C,mastercard,credit,gmail.com,gmail.com,,,,
8783,2995783,1,257901,14.38,C,visa,credit,gmail.com,gmail.com,,,,
8792,2995792,1,258060,51.901,C,mastercard,credit,gmail.com,gmail.com,,,,
8793,2995793,1,258069,39.0,W,visa,credit,icloud.com,,220.0,87.0,,
8801,2995801,1,258167,14.38,C,mastercard,debit,gmail.com,gmail.com,,,,
8862,2995862,1,259296,25.0,W,visa,debit,gmail.com,,325.0,87.0,,
8936,2995936,1,260740,20.0,W,visa,debit,gmail.com,,325.0,87.0,,
8976,2995976,1,261555,30.633000000000003,C,mastercard,credit,hotmail.com,hotmail.com,,,,
8979,2995979,1,261598,30.633000000000003,C,mastercard,credit,hotmail.com,hotmail.com,,,,
9016,2996016,1,262098,750.0,W,visa,credit,hotmail.com,,158.0,87.0,,
9041,2996041,1,262544,100.0,W,visa,debit,,,204.0,87.0,,
9144,2996144,1,264055,839.04,W,visa,credit,hotmail.com,,158.0,87.0,,
9232,2996232,1,265535,150.0,H,visa,credit,aol.com,yahoo.com,512.0,87.0,,
9246,2996246,1,265861,209.95,W,visa,credit,,,444.0,87.0,0.0,
9391,2996391,1,268717,30.029,C,visa,credit,hotmail.com,hotmail.com,,,,516.0
9471,2996471,1,271494,67.067,C,mastercard,credit,hotmail.com,hotmail.com,,,,
9479,2996479,1,271790,25.0,W,visa,debit,gmail.com,,315.0,87.0,,
9493,2996493,1,272132,250.0,R,mastercard,credit,yahoo.com,yahoo.com,225.0,87.0,,
9503,2996503,1,272704,100.0,H,visa,debit,ymail.com,ymail.com,315.0,87.0,,
9518,2996518,1,273337,100.0,H,visa,credit,ymail.com,ymail.com,110.0,87.0,,
9531,2996531,1,273789,100.0,H,visa,credit,ymail.com,ymail.com,110.0,87.0,,
9535,2996535,1,273968,100.0,H,visa,debit,ymail.com,ymail.com,512.0,87.0,,
9562,2996562,1,275187,97.45700000000001,C,visa,credit,outlook.com,outlook.com,,,,66.0
9564,2996564,1,275313,97.45700000000001,C,visa,credit,outlook.com,outlook.com,,,,66.0
9612,2996612,1,277801,130.991,C,visa,credit,hotmail.com,hotmail.com,,,,
9639,2996639,1,279717,117.0,W,visa,debit,gmail.com,,476.0,87.0,,
9665,2996665,1,281623,261.95,W,visa,debit,gmail.com,,310.0,87.0,,
9677,2996677,1,282595,24.349,C,mastercard,credit,gmail.com,gmail.com,,,,744.0
9694,2996694,1,284402,87.0,W,mastercard,debit,gmail.com,,433.0,87.0,156.0,
9742,2996742,1,295258,171.0,W,visa,debit,gmail.com,,264.0,87.0,,
9785,2996785,1,302911,10.634,C,visa,credit,gmail.com,gmail.com,,,,
9786,2996786,1,302977,10.634,C,mastercard,debit,gmail.com,gmail.com,,,,
9788,2996788,1,303139,10.634,C,mastercard,debit,gmail.com,gmail.com,,,,
9790,2996790,1,303209,10.634,C,mastercard,debit,gmail.com,gmail.com,,,,
9858,2996858,1,308612,50.0,W,visa,debit,gmail.com,,143.0,87.0,,
10016,2997016,1,313458,226.0,W,visa,credit,yahoo.com,,498.0,87.0,1.0,
10022,2997022,1,313554,25.0,W,visa,debit,gmail.com,,325.0,87.0,,
10046,2997046,1,314039,260.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
10136,2997136,1,315666,171.0,W,mastercard,debit,,,194.0,87.0,,
10243,2997243,1,317782,300.0,H,visa,credit,gmail.com,gmail.com,299.0,87.0,,
10247,2997247,1,317839,300.0,H,visa,debit,gmail.com,gmail.com,299.0,87.0,,
10259,2997259,1,318126,20.0,S,mastercard,credit,,yahoo.com,272.0,87.0,,
10266,2997266,1,318249,150.0,H,mastercard,debit,gmail.com,gmail.com,299.0,87.0,,
10278,2997278,1,318497,75.0,W,visa,debit,gmail.com,,337.0,87.0,,
10306,2997306,1,319122,50.0,H,visa,debit,hotmail.com,,143.0,87.0,,
10322,2997322,1,319355,150.0,H,visa,credit,gmail.com,gmail.com,225.0,87.0,,
10339,2997339,1,319679,150.0,H,discover,credit,gmail.com,gmail.com,325.0,87.0,,
10352,2997352,1,319891,33.534,C,mastercard,credit,hotmail.com,hotmail.com,,,,
10366,2997366,1,320060,33.534,C,visa,debit,hotmail.com,hotmail.com,,,,
10379,2997379,1,320357,33.534,C,visa,debit,hotmail.com,hotmail.com,,,,
10390,2997390,1,320482,33.534,C,mastercard,debit,hotmail.com,hotmail.com,,,,
10419,2997419,1,320936,117.0,W,mastercard,debit,gmail.com,,272.0,87.0,0.0,
10458,2997458,1,321853,335.0,W,mastercard,credit,anonymous.com,,325.0,87.0,,
10592,2997592,1,324108,49.0,W,mastercard,debit,gmail.com,,123.0,87.0,1.0,
10610,2997610,1,324410,982.0,W,visa,credit,gmail.com,,143.0,87.0,5.0,
10711,2997711,1,325947,59.0,W,visa,debit,gmail.com,,384.0,87.0,,
10719,2997719,1,326125,30.75,W,visa,debit,gmail.com,,308.0,87.0,1.0,
10776,2997776,1,327059,161.0,W,visa,debit,icloud.com,,204.0,87.0,,
10787,2997787,1,327312,335.0,W,visa,debit,aol.com,,433.0,87.0,999.0,
10868,2997868,1,328441,117.0,W,mastercard,debit,gmail.com,,191.0,87.0,,
10887,2997887,1,328678,13.050999999999998,C,visa,credit,gmail.com,gmail.com,,,,
10920,2997920,1,329082,65.25399999999999,C,visa,debit,aol.com,aol.com,,,,
10925,2997925,1,329144,65.25399999999999,C,mastercard,debit,aol.com,aol.com,,,,
10946,2997946,1,329394,65.25399999999999,C,mastercard,debit,aol.com,aol.com,,,,
10990,2997990,1,330038,45.0,W,visa,credit,gmail.com,,204.0,87.0,,
11003,2998003,1,330244,54.0,W,visa,credit,gmail.com,,204.0,87.0,48.0,
11019,2998019,1,330423,150.0,H,mastercard,credit,gmail.com,gmail.com,264.0,87.0,,
11035,2998035,1,330738,171.0,W,visa,credit,gmail.com,,123.0,87.0,0.0,
11043,2998043,1,330852,39.0,W,visa,credit,gmail.com,,204.0,87.0,41.0,
11173,2998173,1,333007,150.0,R,visa,debit,yahoo.com,gmail.com,512.0,87.0,,
11180,2998180,1,333065,150.0,R,visa,debit,yahoo.com,gmail.com,512.0,87.0,,
11224,2998224,1,333834,700.0,W,visa,credit,hotmail.com,,158.0,87.0,,
11237,2998237,1,334069,117.0,W,mastercard,debit,yahoo.com,,387.0,87.0,29.0,
11241,2998241,1,334106,778.44,W,visa,credit,,,158.0,87.0,8.0,
11243,2998243,1,334123,141.0,W,visa,debit,gmail.com,,433.0,87.0,3.0,
11250,2998250,1,334233,30.0,S,visa,debit,,gmail.com,330.0,87.0,,191.0
11292,2998292,1,334974,47.95,W,visa,debit,hotmail.com,,299.0,87.0,,
11311,2998311,1,335421,982.0,W,visa,debit,gmail.com,,143.0,87.0,5.0,
11338,2998338,1,335925,150.0,W,mastercard,credit,frontiernet.net,,315.0,87.0,,
11397,2998397,1,336739,117.0,W,mastercard,debit,gmail.com,,387.0,87.0,,
11434,2998434,1,337122,171.0,W,mastercard,credit,frontiernet.net,,315.0,87.0,253.0,
11499,2998499,1,338136,40.0,W,visa,debit,,,472.0,87.0,,
11544,2998544,1,338587,47.0,W,visa,debit,,,472.0,87.0,,
11613,2998613,1,339417,115.0,W,mastercard,debit,gmail.com,,299.0,87.0,2.0,
11622,2998622,1,339530,554.0,W,visa,credit,yahoo.com,,231.0,87.0,2445.0,
11638,2998638,1,339763,24.168000000000003,C,visa,debit,outlook.com,outlook.com,,,,
11645,2998645,1,339827,24.168000000000003,C,visa,debit,outlook.com,outlook.com,,,,
11666,2998666,1,340103,112.99,W,mastercard,debit,,,143.0,87.0,,
11697,2998697,1,340431,90.0,W,mastercard,debit,yahoo.com,,143.0,87.0,,
11745,2998745,1,341046,24.168000000000003,C,visa,debit,outlook.com,outlook.com,,,,
11766,2998766,1,341246,400.0,W,visa,credit,att.net,,251.0,87.0,,
11812,2998812,1,341732,60.662,C,visa,credit,gmail.com,gmail.com,,,,
11855,2998855,1,342294,117.0,W,discover,credit,yahoo.com,,299.0,87.0,18.0,
11861,2998861,1,342337,50.0,W,visa,debit,gmail.com,,384.0,87.0,,
